LINK_NAME,FIRST_HUB,SECOND_HUB,FIRST_HUB_BKEYS,SECOND_HUB_BKEYS
LNK_CUSTOMER_LINEITEM,HUB_CUSTOMER,HUB_LINEITEM,C_CUSTKEY,PS_SUPPKEY
LNK_REGION_SUPPLIER,HUB_REGION,HUB_SUPPLIER,R_REGIONKEY,S_REGIONKEY
LNK_NATION_SUPPLIER,HUB_NATION,HUB_SUPPLIER,N_NATIONKEY,S_NATIONKEY
LNK_PART_LINEITEM,HUB_LINEITEM,HUB_PART,P_PARTKEY,L_PARTKEY
LNK_CUSTOMER_ORDERS,HUB_CUSTOMER,HUB_ORDERS,C_CUSTKEY,O_CUSTKEY
LNK_ORDERS_LINEITEM,HUB_ORDERS,LNK_LINEITEM,O_ORDERKY,L_ORDERKEY
LNK_SUPPLIER_LINEITEM,HUB_SUPPLIER,HUB_LINEITEM,S_SUPPKEY,L_SUPPKEY
LNK_PART_PARTSUPP,HUB_PART,HUB_PARTSUPP,P_PARTKEY,PS_PARTKEY
LNK_SUPPLIER_PARTSUPP,HUB_SUPPLIER,HUB_PARTSUPP,S_SUPPKEY,PS_SUPPKEY
