LINK_SCHEMA_NAME,LINK_NAME,FIRST_HUB,SECOND_HUB,FIRST_HUB_BKEYS,SECOND_HUB_BKEYS
DV_RAV,LNK_CUSTOMER_LINEITEM,HUB_CUSTOMER,HUB_LINEITEM,C_CUSTKEY,L_SUPPKEY
DV_RAV,LNK_PART_LINEITEM,HUB_PART,HUB_LINEITEM,P_PARTKEY,L_PARTKEY
DV_RAV,LNK_ORDERS_LINEITEM,HUB_ORDERS,LNK_LINEITEM,O_ORDERKY,L_ORDERKEY
DV_RAV,LNK_SUPPLIER_LINEITEM,HUB_SUPPLIER,HUB_LINEITEM,S_SUPPKEY,L_SUPPKEY
DV_RAV,LNK_PART_PARTSUPP,HUB_PART,HUB_PARTSUPP,P_PARTKEY,PS_PARTKEY
DV_RAV,LNK_SUPPLIER_PARTSUPP,HUB_SUPPLIER,HUB_PARTSUPP,S_SUPPKEY,PS_SUPPKEY
